Sample	Site	Species	SiteSpecies	Geno	Temp	Replicate	FvFm
KP4-36A	AlFahal	Pocillopora	KP	4	36	A	0.408
KP5-36A	AlFahal	Pocillopora	KP	5	36	A	0.389
KP6-36A	AlFahal	Pocillopora	KP	6	36	A	0.454
KP7-36A	AlFahal	Pocillopora	KP	7	36	A	0.408
KP1-36B	AlFahal	Pocillopora	KP	1	36	B	0.155
KP2-36B	AlFahal	Pocillopora	KP	2	36	B	0.237
KP3-36B	AlFahal	Pocillopora	KP	3	36	B	0.262
KP4-36B	AlFahal	Pocillopora	KP	4	36	B	0.314
KP5-36B	AlFahal	Pocillopora	KP	5	36	B	0.257
KP6-36B	AlFahal	Pocillopora	KP	6	36	B	0.423
KP7-36B	AlFahal	Pocillopora	KP	7	36	B	0.336
KP1-39A	AlFahal	Pocillopora	KP	1	39	A	0.058
KP2-39A	AlFahal	Pocillopora	KP	2	39	A	0
KP3-39A	AlFahal	Pocillopora	KP	3	39	A	0.072
KP4-39A	AlFahal	Pocillopora	KP	4	39	A	0.064
KP5-39A	AlFahal	Pocillopora	KP	5	39	A	0.049
KP6-39A	AlFahal	Pocillopora	KP	6	39	A	0.073
KP7-39A	AlFahal	Pocillopora	KP	7	39	A	0.063
KP1-39B	AlFahal	Pocillopora	KP	1	39	B	0.037
KP2-39B	AlFahal	Pocillopora	KP	2	39	B	0
KP3-39B	AlFahal	Pocillopora	KP	3	39	B	0.034
KP4-39B	AlFahal	Pocillopora	KP	4	39	B	0.047
KP5-39B	AlFahal	Pocillopora	KP	5	39	B	0
KP6-39B	AlFahal	Pocillopora	KP	6	39	B	0.113
KP7-39B	AlFahal	Pocillopora	KP	7	39	B	0.057
QL1-30A	AlQunfudhah	Porites	QL	1	30	A	0.633
QL2-30A	AlQunfudhah	Porites	QL	2	30	A	0.615
QL3-30A	AlQunfudhah	Porites	QL	3	30	A	0.603
QL4-30A	AlQunfudhah	Porites	QL	4	30	A	0.597
QL5-30A	AlQunfudhah	Porites	QL	5	30	A	0.638
QL6-30A	AlQunfudhah	Porites	QL	6	30	A	0.603
QL7-30A	AlQunfudhah	Porites	QL	7	30	A	0.597
QL1-30B	AlQunfudhah	Porites	QL	1	30	B	0.627
QL2-30B	AlQunfudhah	Porites	QL	2	30	B	0.6
QL3-30B	AlQunfudhah	Porites	QL	3	30	B	0.598
QL4-30B	AlQunfudhah	Porites	QL	4	30	B	0.625
QL5-30B	AlQunfudhah	Porites	QL	5	30	B	0.642
QL6-30B	AlQunfudhah	Porites	QL	6	30	B	0.598
QL7-30B	AlQunfudhah	Porites	QL	7	30	B	0.602
QL1-33A	AlQunfudhah	Porites	QL	1	33	A	0.57
QL2-33A	AlQunfudhah	Porites	QL	2	33	A	0.601
QL3-33A	AlQunfudhah	Porites	QL	3	33	A	0.576
QL4-33A	AlQunfudhah	Porites	QL	4	33	A	0.601
QL5-33A	AlQunfudhah	Porites	QL	5	33	A	0.624
QL6-33A	AlQunfudhah	Porites	QL	6	33	A	0.597
QL7-33A	AlQunfudhah	Porites	QL	7	33	A	0.543
QL1-33B	AlQunfudhah	Porites	QL	1	33	B	0.597
QL2-33B	AlQunfudhah	Porites	QL	2	33	B	0.634
QL3-33B	AlQunfudhah	Porites	QL	3	33	B	0.602
QL4-33B	AlQunfudhah	Porites	QL	4	33	B	0.614
QL5-33B	AlQunfudhah	Porites	QL	5	33	B	0.634
QL6-33B	AlQunfudhah	Porites	QL	6	33	B	0.608
QL7-33B	AlQunfudhah	Porites	QL	7	33	B	0.59
QL1-36A	AlQunfudhah	Porites	QL	1	36	A	0.513
QL2-36A	AlQunfudhah	Porites	QL	2	36	A	0.522
QL3-36A	AlQunfudhah	Porites	QL	3	36	A	0.46
QL4-36A	AlQunfudhah	Porites	QL	4	36	A	0.56
QL5-36A	AlQunfudhah	Porites	QL	5	36	A	0.513
QL6-36A	AlQunfudhah	Porites	QL	6	36	A	0.57
QL7-36A	AlQunfudhah	Porites	QL	7	36	A	0.418
QL1-36B	AlQunfudhah	Porites	QL	1	36	B	0.011
QL2-36B	AlQunfudhah	Porites	QL	2	36	B	0.004
QL3-36B	AlQunfudhah	Porites	QL	3	36	B	0.017
QL4-36B	AlQunfudhah	Porites	QL	4	36	B	0.012
QL5-36B	AlQunfudhah	Porites	QL	5	36	B	0.004
QL6-36B	AlQunfudhah	Porites	QL	6	36	B	0
QL7-36B	AlQunfudhah	Porites	QL	7	36	B	0.009
QL1-39A	AlQunfudhah	Porites	QL	1	39	A	0.117
QL2-39A	AlQunfudhah	Porites	QL	2	39	A	0.036
QL3-39A	AlQunfudhah	Porites	QL	3	39	A	0.013
QL4-39A	AlQunfudhah	Porites	QL	4	39	A	0.096
QL5-39A	AlQunfudhah	Porites	QL	5	39	A	0.159
QL6-39A	AlQunfudhah	Porites	QL	6	39	A	0.017
QL7-39A	AlQunfudhah	Porites	QL	7	39	A	0.025
QL1-39B	AlQunfudhah	Porites	QL	1	39	B	0.043
QL2-39B	AlQunfudhah	Porites	QL	2	39	B	0.006
QL3-39B	AlQunfudhah	Porites	QL	3	39	B	0.013
QL4-39B	AlQunfudhah	Porites	QL	4	39	B	0.083
QL5-39B	AlQunfudhah	Porites	QL	5	39	B	0.031
QL6-39B	AlQunfudhah	Porites	QL	6	39	B	0.043
QL7-39B	AlQunfudhah	Porites	QL	7	39	B	0.045
WA1-30A	AlWajh	Acropora	WA	1	30	A	0.579
WA2-30A	AlWajh	Acropora	WA	2	30	A	0.616
WA3-30A	AlWajh	Acropora	WA	3	30	A	0.621
WA4-30A	AlWajh	Acropora	WA	4	30	A	0.601
WA5-30A	AlWajh	Acropora	WA	5	30	A	0.586
WA6-30A	AlWajh	Acropora	WA	6	30	A	0.541
WA7-30A	AlWajh	Acropora	WA	7	30	A	0.563
WA1-30B	AlWajh	Acropora	WA	1	30	B	0.576
WA2-30B	AlWajh	Acropora	WA	2	30	B	0.547
