Sample	Site	Species	SiteSpecies	Geno	Temp	Replicate	FvFm
EA5-39A	Eilat	Acropora	EA	5	39	A	0.042
EA6-39A	Eilat	Acropora	EA	6	39	A	0.12
EA7-39A	Eilat	Acropora	EA	7	39	A	0.106
EA1-39B	Eilat	Acropora	EA	1	39	B	0
EA2-39B	Eilat	Acropora	EA	2	39	B	0
EA3-39B	Eilat	Acropora	EA	3	39	B	0
EA4-39B	Eilat	Acropora	EA	4	39	B	0
EA5-39B	Eilat	Acropora	EA	5	39	B	0
EA6-39B	Eilat	Acropora	EA	6	39	B	0
EA7-39B	Eilat	Acropora	EA	7	39	B	0
EP1-30A	Eilat	Pocillopora	EP	1	30	A	0.609
EP2-30A	Eilat	Pocillopora	EP	2	30	A	0.601
EP3-30A	Eilat	Pocillopora	EP	3	30	A	0.512
EP4-30A	Eilat	Pocillopora	EP	4	30	A	0.622
EP5-30A	Eilat	Pocillopora	EP	5	30	A	0.546
EP6-30A	Eilat	Pocillopora	EP	6	30	A	0.572
EP7-30A	Eilat	Pocillopora	EP	7	30	A	0.528
EP1-30B	Eilat	Pocillopora	EP	1	30	B	0.601
EP2-30B	Eilat	Pocillopora	EP	2	30	B	0.592
EP3-30B	Eilat	Pocillopora	EP	3	30	B	0.54
EP4-30B	Eilat	Pocillopora	EP	4	30	B	0.639
EP5-30B	Eilat	Pocillopora	EP	5	30	B	0.585
EP6-30B	Eilat	Pocillopora	EP	6	30	B	0.571
EP7-30B	Eilat	Pocillopora	EP	7	30	B	0.65
EP1-33A	Eilat	Pocillopora	EP	1	33	A	0.352
EP2-33A	Eilat	Pocillopora	EP	2	33	A	0.364
EP3-33A	Eilat	Pocillopora	EP	3	33	A	0.501
EP4-33A	Eilat	Pocillopora	EP	4	33	A	0.477
EP5-33A	Eilat	Pocillopora	EP	5	33	A	0.48
EP6-33A	Eilat	Pocillopora	EP	6	33	A	0.515
EP7-33A	Eilat	Pocillopora	EP	7	33	A	0.524
EP1-33B	Eilat	Pocillopora	EP	1	33	B	0.572
EP2-33B	Eilat	Pocillopora	EP	2	33	B	0.586
EP3-33B	Eilat	Pocillopora	EP	3	33	B	0.505
EP4-33B	Eilat	Pocillopora	EP	4	33	B	0.546
EP5-33B	Eilat	Pocillopora	EP	5	33	B	0.55
EP6-33B	Eilat	Pocillopora	EP	6	33	B	0.546
EP7-33B	Eilat	Pocillopora	EP	7	33	B	0.581
EP1-36A	Eilat	Pocillopora	EP	1	36	A	0.151
EP2-36A	Eilat	Pocillopora	EP	2	36	A	0.034
EP3-36A	Eilat	Pocillopora	EP	3	36	A	0.138
EP4-36A	Eilat	Pocillopora	EP	4	36	A	0.089
EP5-36A	Eilat	Pocillopora	EP	5	36	A	0.113
EP6-36A	Eilat	Pocillopora	EP	6	36	A	0.11
EP7-36A	Eilat	Pocillopora	EP	7	36	A	0.123
EP1-36B	Eilat	Pocillopora	EP	1	36	B	0.256
EP2-36B	Eilat	Pocillopora	EP	2	36	B	0.253
EP3-36B	Eilat	Pocillopora	EP	3	36	B	0.341
EP4-36B	Eilat	Pocillopora	EP	4	36	B	0.281
EP5-36B	Eilat	Pocillopora	EP	5	36	B	0.364
EP6-36B	Eilat	Pocillopora	EP	6	36	B	0.257
EP7-36B	Eilat	Pocillopora	EP	7	36	B	0.342
EP1-39A	Eilat	Pocillopora	EP	1	39	A	0.08
EP2-39A	Eilat	Pocillopora	EP	2	39	A	0.086
EP3-39A	Eilat	Pocillopora	EP	3	39	A	0.183
EP4-39A	Eilat	Pocillopora	EP	4	39	A	0.155
EP5-39A	Eilat	Pocillopora	EP	5	39	A	0.22
EP6-39A	Eilat	Pocillopora	EP	6	39	A	0.117
EP7-39A	Eilat	Pocillopora	EP	7	39	A	0.297
EP1-39B	Eilat	Pocillopora	EP	1	39	B	0
EP2-39B	Eilat	Pocillopora	EP	2	39	B	0
EP3-39B	Eilat	Pocillopora	EP	3	39	B	0
EP4-39B	Eilat	Pocillopora	EP	4	39	B	0
EP5-39B	Eilat	Pocillopora	EP	5	39	B	0
EP6-39B	Eilat	Pocillopora	EP	6	39	B	0.021
EP7-39B	Eilat	Pocillopora	EP	7	39	B	0.047
ES1-30A	Eilat	Stylophora	ES	1	30	A	0.603
ES2-30A	Eilat	Stylophora	ES	2	30	A	0.549
ES3-30A	Eilat	Stylophora	ES	3	30	A	0.6
ES4-30A	Eilat	Stylophora	ES	4	30	A	0.431
ES5-30A	Eilat	Stylophora	ES	5	30	A	0.596
ES6-30A	Eilat	Stylophora	ES	6	30	A	0.59
ES7-30A	Eilat	Stylophora	ES	7	30	A	0.592
ES1-30B	Eilat	Stylophora	ES	1	30	B	0.607
ES2-30B	Eilat	Stylophora	ES	2	30	B	0.581
ES3-30B	Eilat	Stylophora	ES	3	30	B	0.612
ES4-30B	Eilat	Stylophora	ES	4	30	B	0.528
ES5-30B	Eilat	Stylophora	ES	5	30	B	0.585
ES6-30B	Eilat	Stylophora	ES	6	30	B	0.6
ES7-30B	Eilat	Stylophora	ES	7	30	B	0.602
ES1-33A	Eilat	Stylophora	ES	1	33	A	0.341
ES2-33A	Eilat	Stylophora	ES	2	33	A	0.477
ES3-33A	Eilat	Stylophora	ES	3	33	A	0.452
ES4-33A	Eilat	Stylophora	ES	4	33	A	0.316
ES5-33A	Eilat	Stylophora	ES	5	33	A	0.463
ES6-33A	Eilat	Stylophora	ES	6	33	A	0.521
ES7-33A	Eilat	Stylophora	ES	7	33	A	0.495
ES1-33B	Eilat	Stylophora	ES	1	33	B	0.502
ES2-33B	Eilat	Stylophora	ES	2	33	B	0.51
ES3-33B	Eilat	Stylophora	ES	3	33	B	0.549
ES4-33B	Eilat	Stylophora	ES	4	33	B	0.393
ES5-33B	Eilat	Stylophora	ES	5	33	B	0.492
ES6-33B	Eilat	Stylophora	ES	6	33	B	0.56
ES7-33B	Eilat	Stylophora	ES	7	33	B	0.53
ES1-36A	Eilat	Stylophora	ES	1	36	A	0.125
ES2-36A	Eilat	Stylophora	ES	2	36	A	0.113
ES3-36A	Eilat	Stylophora	ES	3	36	A	0.128
ES4-36A	Eilat	Stylophora	ES	4	36	A	0.072
ES5-36A	Eilat	Stylophora	ES	5	36	A	0.077
ES6-36A	Eilat	Stylophora	ES	6	36	A	0.11
ES7-36A	Eilat	Stylophora	ES	7	36	A	0.089
ES1-36B	Eilat	Stylophora	ES	1	36	B	0.14
ES2-36B	Eilat	Stylophora	ES	2	36	B	0.214
ES3-36B	Eilat	Stylophora	ES	3	36	B	0.167
ES4-36B	Eilat	Stylophora	ES	4	36	B	0.091
ES5-36B	Eilat	Stylophora	ES	5	36	B	0.263
ES6-36B	Eilat	Stylophora	ES	6	36	B	0.333
ES7-36B	Eilat	Stylophora	ES	7	36	B	0.365
ES1-39A	Eilat	Stylophora	ES	1	39	A	0.053
ES2-39A	Eilat	Stylophora	ES	2	39	A	0.073
ES3-39A	Eilat	Stylophora	ES	3	39	A	0.023
ES4-39A	Eilat	Stylophora	ES	4	39	A	0.033
ES5-39A	Eilat	Stylophora	ES	5	39	A	0.136
ES6-39A	Eilat	Stylophora	ES	6	39	A	0.055
ES7-39A	Eilat	Stylophora	ES	7	39	A	0.142
ES1-39B	Eilat	Stylophora	ES	1	39	B	0
ES2-39B	Eilat	Stylophora	ES	2	39	B	0
ES3-39B	Eilat	Stylophora	ES	3	39	B	0
ES4-39B	Eilat	Stylophora	ES	4	39	B	0
ES5-39B	Eilat	Stylophora	ES	5	39	B	0
ES6-39B	Eilat	Stylophora	ES	6	39	B	0
ES7-39B	Eilat	Stylophora	ES	7	39	B	0
KL1-30A	AlFahal	Porites	KL	1	30	A	0.544
KL2-30A	AlFahal	Porites	KL	2	30	A	0.541
KL3-30A	AlFahal	Porites	KL	3	30	A	0.541
KL4-30A	AlFahal	Porites	KL	4	30	A	0.62
KL5-30A	AlFahal	Porites	KL	5	30	A	0.581
KL6-30A	AlFahal	Porites	KL	6	30	A	0.58
KL7-30A	AlFahal	Porites	KL	7	30	A	0.578
KL1-30B	AlFahal	Porites	KL	1	30	B	0.606
KL2-30B	AlFahal	Porites	KL	2	30	B	0.566
KL3-30B	AlFahal	Porites	KL	3	30	B	0.627
KL4-30B	AlFahal	Porites	KL	4	30	B	0.649
KL5-30B	AlFahal	Porites	KL	5	30	B	0.532
KL6-30B	AlFahal	Porites	KL	6	30	B	0.556
KL7-30B	AlFahal	Porites	KL	7	30	B	0.561
KL1-33A	AlFahal	Porites	KL	1	33	A	0.547
KL2-33A	AlFahal	Porites	KL	2	33	A	0.469
KL3-33A	AlFahal	Porites	KL	3	33	A	0.611
KL4-33A	AlFahal	Porites	KL	4	33	A	0.567
KL5-33A	AlFahal	Porites	KL	5	33	A	0.527
KL6-33A	AlFahal	Porites	KL	6	33	A	0.511
KL7-33A	AlFahal	Porites	KL	7	33	A	0.545
KL1-33B	AlFahal	Porites	KL	1	33	B	0.614
KL2-33B	AlFahal	Porites	KL	2	33	B	0.59
KL3-33B	AlFahal	Porites	KL	3	33	B	0.615
KL4-33B	AlFahal	Porites	KL	4	33	B	0.596
KL5-33B	AlFahal	Porites	KL	5	33	B	0.525
KL6-33B	AlFahal	Porites	KL	6	33	B	0.525
KL7-33B	AlFahal	Porites	KL	7	33	B	0.56
KL1-36A	AlFahal	Porites	KL	1	36	A	0.539
KL2-36A	AlFahal	Porites	KL	2	36	A	0.468
KL3-36A	AlFahal	Porites	KL	3	36	A	0.598
KL4-36A	AlFahal	Porites	KL	4	36	A	0.558
KL5-36A	AlFahal	Porites	KL	5	36	A	0.394
KL6-36A	AlFahal	Porites	KL	6	36	A	0.367
KL7-36A	AlFahal	Porites	KL	7	36	A	0.457
KL1-36B	AlFahal	Porites	KL	1	36	B	0.479
KL2-36B	AlFahal	Porites	KL	2	36	B	0.443
KL3-36B	AlFahal	Porites	KL	3	36	B	0.564
KL4-36B	AlFahal	Porites	KL	4	36	B	0.547
KL5-36B	AlFahal	Porites	KL	5	36	B	0.252
KL6-36B	AlFahal	Porites	KL	6	36	B	0.323
KL7-36B	AlFahal	Porites	KL	7	36	B	0.392
KL1-39A	AlFahal	Porites	KL	1	39	A	0.191
KL2-39A	AlFahal	Porites	KL	2	39	A	0.068
KL3-39A	AlFahal	Porites	KL	3	39	A	0.224
KL4-39A	AlFahal	Porites	KL	4	39	A	0.211
KL5-39A	AlFahal	Porites	KL	5	39	A	0.004
KL6-39A	AlFahal	Porites	KL	6	39	A	0.052
KL7-39A	AlFahal	Porites	KL	7	39	A	0.029
KL1-39B	AlFahal	Porites	KL	1	39	B	0.221
KL2-39B	AlFahal	Porites	KL	2	39	B	0.06
KL3-39B	AlFahal	Porites	KL	3	39	B	0.098
KL4-39B	AlFahal	Porites	KL	4	39	B	0.019
KL5-39B	AlFahal	Porites	KL	5	39	B	0.008
KL6-39B	AlFahal	Porites	KL	6	39	B	0.007
KL7-39B	AlFahal	Porites	KL	7	39	B	0.046
KS1-30A	AlFahal	Stylophora	KS	1	30	A	0.536
KS2-30A	AlFahal	Stylophora	KS	2	30	A	0.57
KS3-30A	AlFahal	Stylophora	KS	3	30	A	0.608
KS4-30A	AlFahal	Stylophora	KS	4	30	A	0.578
KS5-30A	AlFahal	Stylophora	KS	5	30	A	0.535
KS6-30A	AlFahal	Stylophora	KS	6	30	A	0.421
KS7-30A	AlFahal	Stylophora	KS	7	30	A	0.598
KS1-30B	AlFahal	Stylophora	KS	1	30	B	0.57
KS2-30B	AlFahal	Stylophora	KS	2	30	B	0.604
KS3-30B	AlFahal	Stylophora	KS	3	30	B	0.604
KS4-30B	AlFahal	Stylophora	KS	4	30	B	0.613
KS5-30B	AlFahal	Stylophora	KS	5	30	B	0.57
KS6-30B	AlFahal	Stylophora	KS	6	30	B	0.523
KS7-30B	AlFahal	Stylophora	KS	7	30	B	0.583
KS1-33A	AlFahal	Stylophora	KS	1	33	A	0.545
KS2-33A	AlFahal	Stylophora	KS	2	33	A	0.542
KS3-33A	AlFahal	Stylophora	KS	3	33	A	0.473
KS4-33A	AlFahal	Stylophora	KS	4	33	A	0.558
KS5-33A	AlFahal	Stylophora	KS	5	33	A	0.535
KS6-33A	AlFahal	Stylophora	KS	6	33	A	0.511
KS7-33A	AlFahal	Stylophora	KS	7	33	A	0.59
KS1-33B	AlFahal	Stylophora	KS	1	33	B	0.585
KS2-33B	AlFahal	Stylophora	KS	2	33	B	0.572
KS3-33B	AlFahal	Stylophora	KS	3	33	B	0.575
KS4-33B	AlFahal	Stylophora	KS	4	33	B	0.623
KS5-33B	AlFahal	Stylophora	KS	5	33	B	0.557
KS6-33B	AlFahal	Stylophora	KS	6	33	B	0.573
KS7-33B	AlFahal	Stylophora	KS	7	33	B	0.608
KS1-36A	AlFahal	Stylophora	KS	1	36	A	0.545
KS2-36A	AlFahal	Stylophora	KS	2	36	A	0.48
KS3-36A	AlFahal	Stylophora	KS	3	36	A	0.543
KS4-36A	AlFahal	Stylophora	KS	4	36	A	0.568
KS5-36A	AlFahal	Stylophora	KS	5	36	A	0.543
KS6-36A	AlFahal	Stylophora	KS	6	36	A	0.428
KS7-36A	AlFahal	Stylophora	KS	7	36	A	0.511
KS1-36B	AlFahal	Stylophora	KS	1	36	B	0.455
KS2-36B	AlFahal	Stylophora	KS	2	36	B	0.557
KS3-36B	AlFahal	Stylophora	KS	3	36	B	0.353
KS4-36B	AlFahal	Stylophora	KS	4	36	B	0.566
KS5-36B	AlFahal	Stylophora	KS	5	36	B	0.395
KS6-36B	AlFahal	Stylophora	KS	6	36	B	0.374
KS7-36B	AlFahal	Stylophora	KS	7	36	B	0.504
KS1-39A	AlFahal	Stylophora	KS	1	39	A	0.017
KS2-39A	AlFahal	Stylophora	KS	2	39	A	0
KS3-39A	AlFahal	Stylophora	KS	3	39	A	0.069
KS4-39A	AlFahal	Stylophora	KS	4	39	A	0.057
KS5-39A	AlFahal	Stylophora	KS	5	39	A	0.085
KS6-39A	AlFahal	Stylophora	KS	6	39	A	0.217
KS7-39A	AlFahal	Stylophora	KS	7	39	A	0.005
KS1-39B	AlFahal	Stylophora	KS	1	39	B	0.031
KS2-39B	AlFahal	Stylophora	KS	2	39	B	0.023
KS3-39B	AlFahal	Stylophora	KS	3	39	B	0.002
KS4-39B	AlFahal	Stylophora	KS	4	39	B	0.051
KS5-39B	AlFahal	Stylophora	KS	5	39	B	0
KS6-39B	AlFahal	Stylophora	KS	6	39	B	0.001
KS7-39B	AlFahal	Stylophora	KS	7	39	B	0.017
OP1-30A	Obock	Pocillopora	OP	1	30	A	0.616
OP2-30A	Obock	Pocillopora	OP	2	30	A	0.591
OP3-30A	Obock	Pocillopora	OP	3	30	A	0.603
OP4-30A	Obock	Pocillopora	OP	4	30	A	0.614
OP5-30A	Obock	Pocillopora	OP	5	30	A	0.592
OP6-30A	Obock	Pocillopora	OP	6	30	A	0.582
OP7-30A	Obock	Pocillopora	OP	7	30	A	0.604
OP1-30B	Obock	Pocillopora	OP	1	30	B	0.592
OP2-30B	Obock	Pocillopora	OP	2	30	B	0.552
OP3-30B	Obock	Pocillopora	OP	3	30	B	0.593
OP4-30B	Obock	Pocillopora	OP	4	30	B	0.619
OP5-30B	Obock	Pocillopora	OP	5	30	B	0.528
OP6-30B	Obock	Pocillopora	OP	6	30	B	0.543
OP7-30B	Obock	Pocillopora	OP	7	30	B	0.612
OP1-33A	Obock	Pocillopora	OP	1	33	A	0.597
OP2-33A	Obock	Pocillopora	OP	2	33	A	0.595
OP3-33A	Obock	Pocillopora	OP	3	33	A	0.583
OP4-33A	Obock	Pocillopora	OP	4	33	A	0.558
OP5-33A	Obock	Pocillopora	OP	5	33	A	0.541
OP6-33A	Obock	Pocillopora	OP	6	33	A	0.559
OP7-33A	Obock	Pocillopora	OP	7	33	A	0.585
OP1-33B	Obock	Pocillopora	OP	1	33	B	0.568
OP2-33B	Obock	Pocillopora	OP	2	33	B	0.538
OP3-33B	Obock	Pocillopora	OP	3	33	B	0.58
OP4-33B	Obock	Pocillopora	OP	4	33	B	0.612
OP5-33B	Obock	Pocillopora	OP	5	33	B	0.588
OP6-33B	Obock	Pocillopora	OP	6	33	B	0.526
OP7-33B	Obock	Pocillopora	OP	7	33	B	0.544
OP1-36A	Obock	Pocillopora	OP	1	36	A	0.512
OP2-36A	Obock	Pocillopora	OP	2	36	A	0.564
OP3-36A	Obock	Pocillopora	OP	3	36	A	0.538
OP4-36A	Obock	Pocillopora	OP	4	36	A	0.56
OP5-36A	Obock	Pocillopora	OP	5	36	A	0.368
OP6-36A	Obock	Pocillopora	OP	6	36	A	0.559
OP7-36A	Obock	Pocillopora	OP	7	36	A	0.515
OP1-36B	Obock	Pocillopora	OP	1	36	B	0.515
OP2-36B	Obock	Pocillopora	OP	2	36	B	0.533
OP3-36B	Obock	Pocillopora	OP	3	36	B	0.563
OP4-36B	Obock	Pocillopora	OP	4	36	B	0.381
OP5-36B	Obock	Pocillopora	OP	5	36	B	0.428
OP6-36B	Obock	Pocillopora	OP	6	36	B	0.521
OP7-36B	Obock	Pocillopora	OP	7	36	B	0.362
OP1-39A	Obock	Pocillopora	OP	1	39	A	0
OP2-39A	Obock	Pocillopora	OP	2	39	A	0
OP3-39A	Obock	Pocillopora	OP	3	39	A	0
OP4-39A	Obock	Pocillopora	OP	4	39	A	0
OP5-39A	Obock	Pocillopora	OP	5	39	A	0
OP6-39A	Obock	Pocillopora	OP	6	39	A	0
OP7-39A	Obock	Pocillopora	OP	7	39	A	0
OP1-39B	Obock	Pocillopora	OP	1	39	B	0
OP2-39B	Obock	Pocillopora	OP	2	39	B	0
OP3-39B	Obock	Pocillopora	OP	3	39	B	0
OP4-39B	Obock	Pocillopora	OP	4	39	B	0
OP5-39B	Obock	Pocillopora	OP	5	39	B	0
OP6-39B	Obock	Pocillopora	OP	6	39	B	0
OP7-39B	Obock	Pocillopora	OP	7	39	B	0
OL1-30A	Obock	Porites	OL	1	30	A	0.548
OL2-30A	Obock	Porites	OL	2	30	A	0.561
OL3-30A	Obock	Porites	OL	3	30	A	0.543
OL4-30A	Obock	Porites	OL	4	30	A	0.566
OL5-30A	Obock	Porites	OL	5	30	A	0.552
OL6-30A	Obock	Porites	OL	6	30	A	0.545
OL7-30A	Obock	Porites	OL	7	30	A	0.555
OL1-30B	Obock	Porites	OL	1	30	B	0.51
OL2-30B	Obock	Porites	OL	2	30	B	0.556
OL3-30B	Obock	Porites	OL	3	30	B	0.527
OL4-30B	Obock	Porites	OL	4	30	B	0.551
OL5-30B	Obock	Porites	OL	5	30	B	0.529
OL6-30B	Obock	Porites	OL	6	30	B	0.528
OL7-30B	Obock	Porites	OL	7	30	B	0.531
OL1-33A	Obock	Porites	OL	1	33	A	0.533
OL2-33A	Obock	Porites	OL	2	33	A	0.53
OL3-33A	Obock	Porites	OL	3	33	A	0.554
OL4-33A	Obock	Porites	OL	4	33	A	0.539
OL5-33A	Obock	Porites	OL	5	33	A	0.522
OL6-33A	Obock	Porites	OL	6	33	A	0.519
OL7-33A	Obock	Porites	OL	7	33	A	0.512
OL1-33B	Obock	Porites	OL	1	33	B	0.556
OL2-33B	Obock	Porites	OL	2	33	B	0.566
OL3-33B	Obock	Porites	OL	3	33	B	0.545
OL4-33B	Obock	Porites	OL	4	33	B	0.555
OL5-33B	Obock	Porites	OL	5	33	B	0.544
OL6-33B	Obock	Porites	OL	6	33	B	0.542
OL7-33B	Obock	Porites	OL	7	33	B	0.547
OL1-36A	Obock	Porites	OL	1	36	A	0.466
OL2-36A	Obock	Porites	OL	2	36	A	0.492
OL3-36A	Obock	Porites	OL	3	36	A	0.481
OL4-36A	Obock	Porites	OL	4	36	A	0.494
OL5-36A	Obock	Porites	OL	5	36	A	0.455
OL6-36A	Obock	Porites	OL	6	36	A	0.489
OL7-36A	Obock	Porites	OL	7	36	A	0.453
OL1-36B	Obock	Porites	OL	1	36	B	0.461
OL2-36B	Obock	Porites	OL	2	36	B	0.498
OL3-36B	Obock	Porites	OL	3	36	B	0.487
OL4-36B	Obock	Porites	OL	4	36	B	0.496
OL5-36B	Obock	Porites	OL	5	36	B	0.452
OL6-36B	Obock	Porites	OL	6	36	B	0.471
OL7-36B	Obock	Porites	OL	7	36	B	0.472
OL1-39A	Obock	Porites	OL	1	39	A	0.046
OL2-39A	Obock	Porites	OL	2	39	A	0.063
OL3-39A	Obock	Porites	OL	3	39	A	0
OL4-39A	Obock	Porites	OL	4	39	A	0
OL5-39A	Obock	Porites	OL	5	39	A	0.116
OL6-39A	Obock	Porites	OL	6	39	A	0.039
OL7-39A	Obock	Porites	OL	7	39	A	0
OL1-39B	Obock	Porites	OL	1	39	B	0
OL2-39B	Obock	Porites	OL	2	39	B	0.097
OL3-39B	Obock	Porites	OL	3	39	B	0
OL4-39B	Obock	Porites	OL	4	39	B	0
OL5-39B	Obock	Porites	OL	5	39	B	0.054
OL6-39B	Obock	Porites	OL	6	39	B	0.042
OL7-39B	Obock	Porites	OL	7	39	B	0
OS1-30A	Obock	Stylophora	OS	1	30	A	0.573
OS2-30A	Obock	Stylophora	OS	2	30	A	0.573
OS3-30A	Obock	Stylophora	OS	3	30	A	0.551
OS4-30A	Obock	Stylophora	OS	4	30	A	0.549
OS5-30A	Obock	Stylophora	OS	5	30	A	0.571
OS6-30A	Obock	Stylophora	OS	6	30	A	0.586
OS7-30A	Obock	Stylophora	OS	7	30	A	0.561
OS1-30B	Obock	Stylophora	OS	1	30	B	0.577
OS2-30B	Obock	Stylophora	OS	2	30	B	0.554
OS3-30B	Obock	Stylophora	OS	3	30	B	0.518
OS4-30B	Obock	Stylophora	OS	4	30	B	0.553
OS5-30B	Obock	Stylophora	OS	5	30	B	0.567
OS6-30B	Obock	Stylophora	OS	6	30	B	0.555
OS7-30B	Obock	Stylophora	OS	7	30	B	0.53
OS1-33A	Obock	Stylophora	OS	1	33	A	0.543
OS2-33A	Obock	Stylophora	OS	2	33	A	0.51
OS3-33A	Obock	Stylophora	OS	3	33	A	0.353
OS4-33A	Obock	Stylophora	OS	4	33	A	0.481
OS5-33A	Obock	Stylophora	OS	5	33	A	0.52
OS6-33A	Obock	Stylophora	OS	6	33	A	0.5
OS7-33A	Obock	Stylophora	OS	7	33	A	0.507
OS1-33B	Obock	Stylophora	OS	1	33	B	0.554
OS2-33B	Obock	Stylophora	OS	2	33	B	0.539
OS3-33B	Obock	Stylophora	OS	3	33	B	0.409
OS4-33B	Obock	Stylophora	OS	4	33	B	0.556
OS5-33B	Obock	Stylophora	OS	5	33	B	0.501
OS6-33B	Obock	Stylophora	OS	6	33	B	0.522
OS7-33B	Obock	Stylophora	OS	7	33	B	0.515
OS1-36A	Obock	Stylophora	OS	1	36	A	0.184
OS2-36A	Obock	Stylophora	OS	2	36	A	0.215
OS3-36A	Obock	Stylophora	OS	3	36	A	0.208
OS4-36A	Obock	Stylophora	OS	4	36	A	0.345
OS5-36A	Obock	Stylophora	OS	5	36	A	0.287
OS6-36A	Obock	Stylophora	OS	6	36	A	0.185
OS7-36A	Obock	Stylophora	OS	7	36	A	0.216
OS1-36B	Obock	Stylophora	OS	1	36	B	0.24
OS2-36B	Obock	Stylophora	OS	2	36	B	0.218
OS3-36B	Obock	Stylophora	OS	3	36	B	0.204
OS4-36B	Obock	Stylophora	OS	4	36	B	0.266
OS5-36B	Obock	Stylophora	OS	5	36	B	0.195
OS6-36B	Obock	Stylophora	OS	6	36	B	0.245
OS7-36B	Obock	Stylophora	OS	7	36	B	0.251
OS1-39A	Obock	Stylophora	OS	1	39	A	0
OS2-39A	Obock	Stylophora	OS	2	39	A	0
OS3-39A	Obock	Stylophora	OS	3	39	A	0
OS4-39A	Obock	Stylophora	OS	4	39	A	0
OS5-39A	Obock	Stylophora	OS	5	39	A	0
OS6-39A	Obock	Stylophora	OS	6	39	A	0
OS7-39A	Obock	Stylophora	OS	7	39	A	0
OS1-39B	Obock	Stylophora	OS	1	39	B	0.02
OS2-39B	Obock	Stylophora	OS	2	39	B	0
OS3-39B	Obock	Stylophora	OS	3	39	B	0
OS4-39B	Obock	Stylophora	OS	4	39	B	0
OS5-39B	Obock	Stylophora	OS	5	39	B	0
OS6-39B	Obock	Stylophora	OS	6	39	B	0
OS7-39B	Obock	Stylophora	OS	7	39	B	0
YA1-30A	Yanbu	Acropora	YA	1	30	A	0.608
YA2-30A	Yanbu	Acropora	YA	2	30	A	0.584
YA3-30A	Yanbu	Acropora	YA	3	30	A	0.613
YA4-30A	Yanbu	Acropora	YA	4	30	A	0.553
YA5-30A	Yanbu	Acropora	YA	5	30	A	0.576
YA6-30A	Yanbu	Acropora	YA	6	30	A	0.539
YA7-30A	Yanbu	Acropora	YA	7	30	A	0.581
YA1-30B	Yanbu	Acropora	YA	1	30	B	0.578
YA2-30B	Yanbu	Acropora	YA	2	30	B	0.606
YA3-30B	Yanbu	Acropora	YA	3	30	B	0.605
YA4-30B	Yanbu	Acropora	YA	4	30	B	0.597
YA5-30B	Yanbu	Acropora	YA	5	30	B	0.616
YA6-30B	Yanbu	Acropora	YA	6	30	B	0.604
YA7-30B	Yanbu	Acropora	YA	7	30	B	0.647
YA1-33A	Yanbu	Acropora	YA	1	33	A	0.457
YA2-33A	Yanbu	Acropora	YA	2	33	A	0.505
YA3-33A	Yanbu	Acropora	YA	3	33	A	0.475
YA4-33A	Yanbu	Acropora	YA	4	33	A	0.518
YA5-33A	Yanbu	Acropora	YA	5	33	A	0.498
YA6-33A	Yanbu	Acropora	YA	6	33	A	0.49
YA7-33A	Yanbu	Acropora	YA	7	33	A	0.609
YA1-33B	Yanbu	Acropora	YA	1	33	B	0.564
YA2-33B	Yanbu	Acropora	YA	2	33	B	0.548
YA3-33B	Yanbu	Acropora	YA	3	33	B	0.576
YA4-33B	Yanbu	Acropora	YA	4	33	B	0.566
YA5-33B	Yanbu	Acropora	YA	5	33	B	0.591
YA6-33B	Yanbu	Acropora	YA	6	33	B	0.531
YA7-33B	Yanbu	Acropora	YA	7	33	B	0.548
YA1-36A	Yanbu	Acropora	YA	1	36	A	0.398
YA2-36A	Yanbu	Acropora	YA	2	36	A	0.401
YA3-36A	Yanbu	Acropora	YA	3	36	A	0.488
YA4-36A	Yanbu	Acropora	YA	4	36	A	0.438
YA5-36A	Yanbu	Acropora	YA	5	36	A	0.416
YA6-36A	Yanbu	Acropora	YA	6	36	A	0.476
YA7-36A	Yanbu	Acropora	YA	7	36	A	0.355
YA1-36B	Yanbu	Acropora	YA	1	36	B	0.506
YA2-36B	Yanbu	Acropora	YA	2	36	B	0.485
YA3-36B	Yanbu	Acropora	YA	3	36	B	0.44
YA4-36B	Yanbu	Acropora	YA	4	36	B	0.337
YA5-36B	Yanbu	Acropora	YA	5	36	B	0.359
YA6-36B	Yanbu	Acropora	YA	6	36	B	0.465
YA7-36B	Yanbu	Acropora	YA	7	36	B	0.408
YA1-39A	Yanbu	Acropora	YA	1	39	A	0.018
YA2-39A	Yanbu	Acropora	YA	2	39	A	0
YA3-39A	Yanbu	Acropora	YA	3	39	A	0
YA4-39A	Yanbu	Acropora	YA	4	39	A	0.014
YA5-39A	Yanbu	Acropora	YA	5	39	A	0.017
YA6-39A	Yanbu	Acropora	YA	6	39	A	0
YA7-39A	Yanbu	Acropora	YA	7	39	A	0
YA1-39B	Yanbu	Acropora	YA	1	39	B	0
YA2-39B	Yanbu	Acropora	YA	2	39	B	0
YA3-39B	Yanbu	Acropora	YA	3	39	B	0.033
YA4-39B	Yanbu	Acropora	YA	4	39	B	0
YA5-39B	Yanbu	Acropora	YA	5	39	B	0.02
YA6-39B	Yanbu	Acropora	YA	6	39	B	0
YA7-39B	Yanbu	Acropora	YA	7	39	B	0.002
YP1-30A	Yanbu	Pocillopora	YP	1	30	A	0.596
YP2-30A	Yanbu	Pocillopora	YP	2	30	A	0.603
